feature,importance
Processor__Mediatek Dimensity 810 5G,0.0
Processor__Mediatek Dimensity 900,0.0
Model_OnePlus Nord,0.0
Processor__Mediatek Dimensity 930,0.0
Model_OnePlus Nord 2T 5G,0.0
Model_POCO C31,0.0
Processor__Mediatek Helio A22,0.0
Model_POCO C50,0.0
Processor__Mediatek Helio G37,0.0
Model_POCO C51,0.0
Processor__Mediatek Helio G88,0.0
Model_POCO C55,0.0
Model_POCO M3 Pro 5G,0.0
Processor__Mediatek Helio G99,0.0
Processor__Mediatek Helio G99 Octa Core,0.0
Processor__Mediatek Helio P35,0.0
Processor__Meditek Helio G37,0.0
Processor__Octa Core,0.0
Processor__Octa-core,0.0
Processor__Octa-core(EXYNOS),0.0
Processor__Oxygen OS,0.0
Processor__Qualcomm SM6225 Snapdragon 680 4G (6 nm),0.0
Processor__Qualcomm Snapdragon 4 Gen 1,0.0
Processor__Qualcomm Snapdragon 439,0.0
Processor__Qualcomm Snapdragon 680,0.0
Processor__Qualcomm Snapdragon 680 (SM6225),0.0
Processor__Qualcomm Snapdragon 695,0.0
Model_POCO M4 5G,0.0
Processor__Qualcomm Snapdragon 695 5G,0.0
Model_POCO M4 Pro 5G,0.0
Processor__Qualcomm Snapdragon 720G,0.0
Processor__Qualcomm Snapdragon 750G,0.0
Processor__Qualcomm Snapdragon 778G,0.0
Processor__Qualcomm Snapdragon 778G 5G Mobile Platform,0.0
Model_POCO M5,0.0
Model_APPLE iPhone 12,0.0
Model_POCO X4 Pro 5G,0.0
Model_REDMI 10,0.0
Model_REDMI 10 Prime 2022,0.0
Model_REDMI 10A SPORT,0.0
Model_REDMI 11 Prime,0.0
Processor__Qualcomm Snapdragon 888 +,0.0
Model_REDMI 12c,0.0
Model_REDMI 9 Activ,0.0
Model_REDMI A1+,0.0
Processor__SC9863A,0.0
Model_REDMI Note 10 Lite,0.0
Processor__Snapdragon 680,0.0
Processor__Snapdragon 685,0.0
Processor__Snapdragon 695,0.0
Model_REDMI Note 10S,0.0
Processor__Spreadtrum,0.0
Processor__Spreadtrum SC9863A1,0.0
Model_REDMI Note 11,0.0
Processor__UNISOC T700,0.0
Processor__Unisoc,0.0
Processor__Unisoc SC9863A,0.0
Processor__Unisoc SC9863A/ Unisoc SC9863A1,0.0
Processor__Unisoc Spreadtrum SC9863A1,0.0
Processor__Unisoc T606,0.0
Processor__Unisoc T610,0.0
Processor__Unisoc T612,0.0
Processor__Unisoc T612 processor,0.0
Model_REDMI Note 11S,0.0
Processor__Unisoc Tiger T612 (12 nm),0.0
Processor__Unisoc Tiger T616,0.0
Model_REDMI Note 11T 5G,0.0
Model_Google Pixel 6a,0.0
